Z1[L],C1[M L^-3],Z2[L],C2[M L^-3],Z3[L],C3[M L^-3],Z4[L],C4[M L^-3],Z5[L],C5[M L^-3]
77.921,6414.33,63.304,3186.597,60.753,2756.42,78.313,2877.645,80.24,2810.96
78.152,7528.268,63.371,3192.326,60.769,2755.804,78.441,2878.923,80.488,2808.898
78.283,7711.905,63.487,3200.212,60.82,2757.001,78.612,2881.966,80.706,2815.03
78.267,7646.987,63.694,3225.964,60.887,2757.529,78.789,2890.007,80.922,2818.105
78.323,7773.219,63.844,3245.359,60.882,2763.879,78.998,2891.004,81.111,2821.56
78.348,7792.601,63.999,3290.737,60.954,2763.611,79.155,2898.811,81.284,2823.895
78.513,7795.506,64.099,3308.06,61.003,2762.132,79.286,2901.805,81.459,2819.829
78.682,7826.944,64.188,3316.082,60.997,2762.111,79.433,2907.644,81.655,2817.735
78.849,7831.102,64.271,3341.281,61.072,2761.119,79.55,2912.057,81.836,2826.781
78.981,7846.93,64.426,3378.708,61.146,2765.104,79.74,2923.982,82.032,2835.367
79.103,7864.307,64.512,3401.732,61.166,2764.743,79.965,2943.944,82.266,2831.238
79.158,7861.283,64.584,3403.118,61.226,2768.893,80.121,2967.88,82.452,2834.498
79.315,7892.153,64.696,3410.962,61.282,2770.896,80.288,2969.113,82.679,2839.169
79.439,7872.589,64.83,3417.481,61.341,2769.924,80.441,2977.504,82.934,2849.569
79.587,7884.612,64.942,3456.102,61.391,2769.582,80.624,2985.906,83.153,2846.991
79.749,7899.643,65.069,3480.809,61.423,2767.515,80.725,3006.393,83.409,2850.987
79.669,7906.939,65.183,3496.693,61.497,2769.757,80.849,3020.114,83.591,2850.748
79.753,7903.532,65.343,3547.364,61.512,2771.316,81.061,3052.362,83.844,2860.588
79.923,7933.04,65.51,3647.452,61.526,2774.996,81.252,3067.449,84.119,2854.184
80.075,7961.625,65.643,3673.18,61.568,2772.353,81.374,3085.781,84.407,2863.367
